DSS:
1.63	3.25	-0.04°
3.46	6.27	-0.08°
5.62	9.91	-0.16°
5.89	12.72	-0.19°
7.00	16.28	-0.26°
6.30	18.93	-0.31°
11.21	22.20	-0.31°
11.26	23.70	-0.35°
14.20	26.90	-0.43°
13.78	30.07	-0.53°
12.80	27.81	-0.38°
18.35	36.26	-0.58°

star_align:
File                                      Stars   OK   offsetX   offsetY angle(°)   match
origin_40246304_raw.dng                     100  yes      1.67      3.28     -0.04      88
origin_40263009_raw.dng                      90  yes      3.45      6.85     -0.10      88
origin_40279525_raw.dng                     100  yes      5.78     10.11     -0.15      88
origin_40296457_raw.dng                     100  yes      5.72     13.99     -0.22      88
origin_40313242_raw.dng                     100  yes      7.37     16.45     -0.25      88
origin_40329294_raw.dng                      85  yes      6.19     19.80     -0.31      85
origin_40346025_raw.dng                      90  yes     10.86     22.25     -0.36      88
origin_40363751_raw.dng                      87  yes     11.98     25.15     -0.41      87
origin_40381326_raw.dng                      95  yes     12.43     25.90     -0.38      88
origin_40398909_raw.dng                     100  yes     14.53     29.80     -0.48      88
origin_40416714_raw.dng                      96  yes     14.14     29.88     -0.43      88
origin_40434231_raw.dng                      91  yes     17.58     34.11     -0.52      88

